koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_depth,koi_duration,koi_model_snr,koi_prad,koi_teq,koi_insol,koi_impact,koi_sma,koi_steff,total_fp_flags,planet_density_proxy,habitable_zone_proxy,transit_intensity,koi_disposition
0.0,0.0,0.0,0.0,13.57078281,511.7,3.3539,88.4,2.64,785.0,89.61,0.866,0.1096,5854.0,0.0,0.003358778625954199,0.11031844826542496,1716.1906299999998,CONFIRMED
0.0,0.0,0.0,0.0,7.12594387,192.4,3.0014,47.1,1.79,997.0,233.31,0.898,0.0711,5779.0,0.0,0.0017935871743486975,0.071106152381788,577.4693599999999,CONFIRMED
0.0,1.0,0.0,0.0,7.442652004,24446.0,2.3078,835.6,15.03,967.0,206.78,0.137,0.0742,6108.0,1.0,0.015526859504132231,0.07628947930172787,56416.4788,FALSE POSITIVE
0.0,0.0,0.0,0.0,16.38489988,1127.1,3.0249,28.9,2.0,433.0,8.35,0.003,0.1084,4126.0,0.0,0.004608294930875576,0.09160203570694232,3409.36479,CONFIRMED
0.0,0.0,0.0,0.0,7.8774163,1306.1,2.0805,38.7,2.16,553.0,22.18,0.041,0.0665,4126.0,0.0,0.0038989169675090257,0.056194975779627905,2717.3410499999995,CONFIRMED
0.0,0.0,0.0,0.0,36.4454001,1122.3,4.007,21.7,1.99,332.0,2.88,0.028,0.1847,4126.0,0.0,0.005975975975975976,0.15607837633830488,4497.0561,CONFIRMED
0.0,0.0,0.0,0.0,3.728732147,5226.5,2.683,345.2,6.02,1023.0,258.34,0.558,0.0455,5497.0,0.0,0.00587890625,0.04437981590635896,14022.699499999999,CONFIRMED
0.0,0.0,0.0,0.0,40.4195037,6256.0,3.362,36.9,7.51,467.0,11.29,0.911,0.2062,5446.0,0.0,0.016047008547008548,0.20018830882264238,21032.672000000002,CANDIDATE
0.0,0.0,0.0,0.0,2.243380573,821.7,1.1196,38.9,1.99,822.0,107.6,0.915,0.028,4149.0,0.0,0.0024179829890643985,0.023726898914253995,919.97532,CONFIRMED
0.0,1.0,0.0,0.0,10.405998015,14489.0,6.5036,745.2,11.23,833.0,113.94,0.324,0.0855,5746.0,1.0,0.013465227817745803,0.08526291115538802,94230.6604,FALSE POSITIVE
0.0,0.0,0.0,0.0,2.337437946,971.2,1.9982,82.4,2.34,1070.0,311.16,0.28,0.0325,5005.0,0.0,0.002184873949579832,0.030247997825429928,1940.65184,CONFIRMED
0.0,0.0,0.0,0.0,7.2406612,556.4,0.798706,13.7,19.45,734.0,68.63,1.198,0.0692,5005.0,0.0,0.026462585034013605,0.0644049676775308,444.4000184,CANDIDATE
0.0,0.0,0.0,0.0,3.43591631,24.714999999999996,3.133,8.7,0.55,1272.0,617.61,0.624,0.0437,5779.0,0.0,0.00043205027494108407,0.043703781421717804,77.43209499999999,CANDIDATE
