orbital_period_days,transit_duration_hours,transit_depth_ppm,planet_radius_earth,equilibrium_temperature_K,insolation_flux_Earth,stellar_radius_solar,stellar_temperature_K,final_disposition,source_mission
0.444291966,2.0792,10967.0,27.51,1836.0,2706.26,0.636,5255.0,FALSE_POSITIVE,KEPLER
10.181584004,3.5089,5741.1,7.73,812.0,102.91,0.836,5988.0,CANDIDATE,KEPLER
20.06036336,3.3203,1494.7,1.96,361.0,4.0,0.493,3950.0,CONFIRMED,KEPLER
46.1842039,4.758,1394.7,1.83,273.0,1.32,0.493,3950.0,CONFIRMED,KEPLER
23.9800854,5.351,104.0,1.31,649.0,41.94,1.012,5854.0,CONFIRMED,KEPLER
7.82502168,2.186,520.8,1.2,494.0,14.05,0.493,3950.0,CONFIRMED,KEPLER
3.895936525,2.3111,8544.8,7.34,1005.0,241.62,0.774,5557.0,CONFIRMED,KEPLER
22.36646466,5.228,986.8,2.32,536.0,19.45,0.734,5395.0,CONFIRMED,KEPLER
1.625522174,2.38963,7969.0,9.73,1579.0,1467.41,1.106,5539.0,CONFIRMED,KEPLER
19.620346923,2.0038,21725.0,13.6,643.0,40.39,0.905,5710.0,CANDIDATE,KEPLER
7.544039,6.222,322.6,17.47,838.0,116.46,0.824,5657.0,FALSE_POSITIVE,KEPLER
9.02930689,3.1449,1019.8,2.57,757.0,77.75,0.82,5349.0,CONFIRMED,KEPLER
10.328035714,7.7915,16918.0,13.28,843.0,119.31,1.024,5627.0,FALSE_POSITIVE,KEPLER
143.2063047,8.9302,10566.0,8.9,308.0,2.14,0.867,5485.0,CONFIRMED,KEPLER
6.164876,3.262,55.8,0.79,1021.0,256.35,1.012,5854.0,CONFIRMED,KEPLER
60.32494216,6.6188,20280.0,12.19,411.0,6.77,0.867,5485.0,CONFIRMED,KEPLER
29.1598615,4.803,488.0,1.91,524.0,17.85,0.867,5485.0,CONFIRMED,KEPLER
1.540397253,2.1541,816.1,25.69,1470.0,1105.68,0.915,5663.0,FALSE_POSITIVE,KEPLER
2.99025443,5.414,589.2,1.7,918.0,168.45,0.731,4667.0,FALSE_POSITIVE,KEPLER
1.594745374,1.9604,15044.0,11.3,1539.0,1329.42,0.893,5934.0,CONFIRMED,KEPLER
4.783002698,2.335,1008.7,2.5,886.0,145.48,0.807,5170.0,CONFIRMED,KEPLER
