orbital_period_days,transit_duration_hours,transit_depth_ppm,planet_radius_earth,equilibrium_temperature_K,insolation_flux_Earth,stellar_radius_solar,stellar_temperature_K,signal_to_noise,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,final_disposition,disp_label,y_confirmed,score_confirmed,pred_confirmed
30.5872153,5.3698,464.8,2.32,621.0,35.08,1.082,5944.0,33.1,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.35333333333333333,0
0.716531851,0.655,78.9,1.11,2034.0,4063.57,1.03,5552.0,17.9,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.35333333333333333,0
1.694740233,1.6864,1446.8,2.12,797.0,95.14,0.527,3764.0,92.3,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.35,0
3.17405898,2.3156,282.2,2.09,1348.0,780.46,1.233,5640.0,29.2,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.35,0
19.18109525,2.424,865.4,1.72,513.0,16.42,0.587,5214.0,17.6,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.35,0
29.7681831,9.425,159.9,3.98,917.0,167.51,2.916,5640.0,13.2,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.35,0
13.2511214,4.996,266.5,1.98,850.0,123.32,1.217,5850.0,15.2,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.35,0
6.93910337,2.977,614.7,1.41,445.0,9.28,0.42,3638.0,22.9,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.35,0
59.4037839,10.041,123.5,1.65,570.0,24.93,1.209,6373.0,17.0,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.35,0
0.9951412,5.588,101.7,0.22,509.0,15.69,0.109,3325.0,17.6,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.3466666666666667,0
6.31219171,4.9377,403.7,2.17,1096.0,342.04,1.075,6322.0,35.6,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.3466666666666667,0
46.2991052,5.2481,854.9,4.33,592.0,29.04,1.507,5396.0,55.0,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.3466666666666667,0
11.45541896,4.95,68.6,1.12,975.0,213.86,1.356,6231.0,15.8,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.3466666666666667,0
14.85185526,3.5263,1341.0,2.73,457.0,10.3,0.652,4129.0,58.3,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.3466666666666667,0
17.79108667,2.662,414.2,2.88,830.0,112.09,1.34,5855.0,39.8,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.3466666666666667,0
32.85862571,3.1483,162.8,2.31,691.0,53.85,1.414,5899.0,36.4,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.3466666666666667,0
37.8034121,4.641,678.1,2.95,460.0,10.57,0.819,5329.0,20.2,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.3433333333333333,0
42.3375799,4.924,354.8,1.45,311.0,2.21,0.581,4132.0,18.1,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.3433333333333333,0
6.37705295,1.949,502.8,2.15,935.0,180.66,0.965,5672.0,17.9,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.3433333333333333,0
53.3580444,6.812,736.1,3.41,474.0,11.94,1.036,5481.0,19.7,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.3433333333333333,0
39.4759093,2.968,1012.6,4.06,577.0,26.13,1.031,6225.0,26.6,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.3433333333333333,0
18.1209388,3.781,504.2,1.68,543.0,20.58,0.774,4905.0,15.8,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.34,0
198.895864,4.193,1779.0,3.33,264.0,1.14,0.808,5184.0,13.0,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.34,0
16.30141333,3.5764,942.3,3.84,805.0,99.08,1.138,6072.0,62.4,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.34,0
7.258450123,5.7297,3714.7,5.53,880.0,141.3,0.92,5638.0,288.6,0.0,0.0,0.0,0.0,FALSE POSITIVE,FALSE POSITIVE,0,0.34,0
12.99065074,2.3748,392.3,2.02,790.0,92.12,1.027,5787.0,42.5,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.33666666666666667,0
11.53029332,1.8385,1209.3,3.98,873.0,137.08,1.152,5770.0,57.6,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.33666666666666667,0
5.1952021,2.1552,320.8,1.37,836.0,115.35,0.738,5044.0,17.7,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.3333333333333333,0
2.252976718,1.7131,467.9,1.19,795.0,94.26,0.559,4039.0,21.7,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.3333333333333333,0
9.13315062,2.1557,231.2,1.48,900.0,155.42,0.964,6122.0,23.0,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.3333333333333333,0
27.9430245,6.125,308.6,2.21,718.0,62.74,1.25,6468.0,12.3,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.3333333333333333,0
7.79668781,4.6699,361.3,2.44,1116.0,366.42,1.276,6521.0,48.5,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.3333333333333333,0
37.8404232,6.408,232.6,1.76,607.0,32.14,1.149,6243.0,23.7,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.33,0
13.4471791,3.0454,1428.2,5.24,848.0,122.34,1.041,6276.0,105.3,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.33,0
3.014330766,2.4747,975.3,2.87,1124.0,377.79,0.953,5209.0,57.3,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.33,0
5.24088367,3.3656,8531.2,12.74,1320.0,716.85,1.305,6452.0,385.7,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.33,0
5.89399142,1.2737,10993.0,11.16,940.0,185.03,0.893,5713.0,252.5,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.33,0
5.59728249,1.795,1407.3,3.28,930.0,176.53,0.858,5610.0,30.8,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.33,0
46.151253,5.346,649.0,2.08,423.0,7.59,0.769,5204.0,17.1,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.33,0
23.1334494,3.602,456.3,2.55,638.0,39.2,0.932,5712.0,21.6,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.32666666666666666,0
31.6084371,3.675,331.6,1.89,634.0,38.1,1.033,6341.0,16.2,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.32666666666666666,0
23.11707222,3.9948,2407.5,4.37,548.0,21.26,0.796,5275.0,61.2,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.3233333333333333,0
466.002988,10.278,2363.6,4.92,223.0,0.58,0.876,5830.0,42.3,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.3233333333333333,0
10.76800074,3.494,65.1,0.92,885.0,144.85,1.096,5874.0,14.2,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.3233333333333333,0
2.494170338,1.1221,863.7,2.42,1194.0,480.19,0.829,5569.0,69.2,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.3233333333333333,0
11.4927112,7.764,291.5,25.01,858.0,127.97,1.005,6198.0,18.7,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.3233333333333333,0
2.81043228,3.874,47.4,1.43,1701.0,1978.53,2.079,5415.0,17.8,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.3233333333333333,0
24.5752524,2.258,1003.4,1.64,316.0,2.35,0.512,3678.0,12.1,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.3233333333333333,0
16.2707207,5.707,468.0,28.42,827.0,110.79,1.244,6117.0,13.0,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.32,0
27.0965146,8.42,208.4,2.13,700.0,56.79,1.352,5775.0,16.4,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.32,0
10.72900793,0.696,404.3,1.78,722.0,64.33,0.876,5375.0,10.1,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.32,0
57.3840375,4.336,241.7,1.62,397.0,5.85,0.79,5250.0,22.9,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.32,0
10.9110487,7.033,401.9,2.36,786.0,90.07,0.864,5903.0,28.3,0.0,0.0,0.0,0.0,FALSE POSITIVE,FALSE POSITIVE,0,0.32,0
60.532988,7.086,467.5,1.91,420.0,7.36,0.847,5631.0,23.8,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.32,0
7.95445779,4.6012,6269.4,9.5,1064.0,303.36,1.196,6217.0,228.4,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.32,0
1.407020118,1.3766,181.9,1.12,1350.0,782.45,0.849,5022.0,18.9,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.32,0
21.7434141,8.143,154.8,2.23,799.0,96.15,1.497,5767.0,15.8,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.31666666666666665,0
2.624234833,1.3874,2607.0,5.11,1164.0,434.31,0.899,5340.0,361.1,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.31666666666666665,0
99.6442783,5.1772,3215.6,8.48,415.0,6.98,1.016,6102.0,163.2,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.31666666666666665,0
0.689210173,1.6169,195.0,1.32,1943.0,3362.71,0.954,5630.0,93.4,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.31666666666666665,0
24.8434837,4.8,217.4,1.58,625.0,35.97,1.022,5670.0,14.2,0.0,0.0,0.0,0.0,CANDIDATE,CANDIDATE,0,0.31666666666666665,0
